over,under
Baralaba Coal Measures,Gyranda Formation
Cook Gap Schist,Lower Middleback Jaspilite
Lower Middleback Jaspilite,Katunga Dolomite
Lowlands Formation,Cranebrook Formation
Lowly Point Formation,False Bay Formation
Saint Kilda Formation,Lowly Point Formation
Loxton Sand,Bookpurnong Formation
Loxton Sand,Renmark Group
Shepparton Formation,Loxton Sand
Blanchetown Clay,Loxton Sand
Norwest Bend Formation,Loxton Sand
Antrim Plateau Volcanics,Lubbock Formation
Lubbock Formation,Tean Formation
Barambah Basalt,Maroondan Melanephelinite
Lucas Formation,Antrim Plateau Volcanics
Lucas Formation,Muriel Range Sandstone
Lucas Formation,Erica Sandstone
Pedestal beds,Lucas Formation
Lucas Formation,Dead Bullock Formation
Pinegrove Formation,Lucernia Coal
Lucernia Coal,Strathmore Formation
Bedford Sandstone,Luman Siltstone
Luman Siltstone,Lansdowne Arkose
King Leopold Sandstone,Luman Siltstone
Luman Siltstone,O'Donnell Formation
Kambalda Komatiite,Lunnon Basalt
Silver Lake Member,Lunnon Basalt
Lupton Formation,Buldya Group
Table Hill Volcanics,Lupton Formation
Lupton Formation,Townsend Quartzite
Lupton Formation,Kanpa Formation
Lupton Formation,Steptoe Formation
Barbwire Sandstone,Poole Sandstone
Alexander Formation,Barbwire Sandstone
Barbwire Sandstone,Liveringa Group
Serle Conglomerate Member,Lyndhurst Formation
Lyndhurst Formation,Bolla Bollana Formation
Yalco Formation,Lynott Formation
Lynott Formation,Reward Dolostone
Heifer Creek Sandstone Member,Ma Ma Creek Member
Ma Ma Creek Member,Gatton Sandstone
MacDougall Formation,Wankanki Supersuite
MacDougall Formation,Wirku Metamorphics
Mummawarrawarra Basalt,MacDougall Formation
Mount Newman Member,MacLeod Member
MacLeod Member,Nammuldi Member
Baree Felsite,Arnolds Ridge Felsite
Fairchild Formation,Mackellar Formation
Mackellar Formation,Pagoda Formation
Mackunda Formation,Marree Subgroup
Mackunda Formation,Oodnadatta Formation
Mackunda Formation,Allaru Mudstone
Winton Formation,Mackunda Formation
Mackunda Formation,Wilgunya Formation
Maclean Sandstone Member,Walloon Coal Measures
Liffey Sandstone,Macrae Mudstone
Macrae Mudstone,Billop Sandstone
Bogadi Greywacke,Madeline Formation
Madeline Formation,Keogh Formation
Bargo Claystone,Wilton Formation
Darkes Forest Sandstone,Bargo Claystone
Bargo Claystone,Tongarra Coal
Blowhole Creek Member,Madigan Inlet Member
Blowhole Creek Siltstone Member,Madigan Inlet Member
Wilson Bluff Limestone,Madura Formation
Madura Formation,Shanes Dam Conglomerate
Hampton Sandstone,Madura Formation
Toondi Formation,Madura Formation
Split Rock Sandstone,Mail Change Limestone
Mail Change Limestone,V Creek Limestone
Main Range Volcanics,Sugarloaf Metamorphics
Main Range Volcanics,Cressbrook Group
Main Range Volcanics,Tarong beds
Main Range Volcanics,Woogaroo Subgroup
Main Range Volcanics,Koukandowie Formation
Main Range Volcanics,Walloon Coal Measures
Jalboi Formation,Mainoru Formation
Mainoru Formation,Mantungula Formation
Buckingham Bay Sandstone,Mainoru Formation
Crawford Formation,Mainoru Formation
Singleton Supergroup,Maitland Group
Munmorah Conglomerate,Maitland Group
Wittingham Coal Measures,Maitland Group
Newcastle Coal Measures,Maitland Group
Tomago Coal Measures,Maitland Group
Maitland Group,Greta Coal Measures
Majurgong Formation,Cavan Bluff Limestone
