over,under
Plum Tree Creek Volcanics,El Sherana Group
El Sherana Group,Burrell Creek Formation
Edith River Group,El Sherana Group
El Sherana Group,Nimbuwah Complex
El Sherana Group,Finniss River Group
Koolpin Formation,Ella Creek Member
Ella Creek Member,Wildman Siltstone
Enano Group,Bullenbalong Suite
Snowy River Volcanics,Enano Group
Enano Group,Towanga Sandstone
Federal Golf Course Tonalite,Yarralumla Formation
Mopunga Group,Frew River Formation
Andagera Formation,Frew River Formation
Kudinga Basalt,Frew River Formation
Benitos Clay,Giddinna Formation
Giddinna Formation,Bulldog Shale
Gleesons Limestone Member,Walli Volcanics
Kalimna Limestone Member,Gleesons Limestone Member
Carrolls Amphibolite,Glenthompson Sandstone
Glenthompson Sandstone,Towanway Tuff
Grampians Group,Glenthompson Sandstone
Grant Bluff Formation,Gnallan a gea Arkose
Gnallan a gea Arkose,Wonnadinna Dolostone
B Creek Rhyolite,Goat Creek Andesite
Carron Rhyolite,Goat Creek Andesite
Gilbert River Formation,Goat Creek Andesite
Goat Creek Andesite,Wallabadah Siltstone
Gomorrah Dolomite,Picone Formation
Styx Dolomite,Gomorrah Dolomite
Hampstead Sandstone,Gongora Granodiorite
Goonbri Formation,Werrie Basalt
Gregra Group,Goonigal Group
Goonigal Group,Cudal Group
Canowindra Volcanics,Gospel Oak Shale
Currant Bush Limestone,Gowers Formation
Gundillion Conglomerate,Long Swamp Creek Formation
Hanlon Subgroup,Kudinga Basalt
Hanlon Subgroup,Wauchope Subgroup
Wheatley Oil Shale Member,Harpur Creek Member
Harpur Creek Member,Hobble Creek Member
Moralana Supergroup,Heysen Supergroup
Heysen Supergroup,Warrina Supergroup
Epenarra Volcanics,Hill of Leaders Granite
Hobble Creek Member,Miriam Vale Granodiorite
Hobble Creek Member,Agnes Water Volcanics
Huon River Formation,Lot Formation
Mount Bowes Formation,Huon River Formation
Inorunie Group,Idalia Rhyolite
Idalia Rhyolite,Carron Rhyolite
Idalia Rhyolite,Littleton Dacite Member
Ina Volcanics,Weelah Formation
Ina Volcanics,Manna Conglomerate
Iwupataka Metamorphic Complex,Madderns Yard Metamorphic Complex
Kumbarilla beds,Juandah Coal Measures
Juandah Coal Measures,Tangalooma Sandstone
Juandah Coal Measures,Taroom Coal Measures
Kadoona Dacite Member,Larbert Conglomerate
Kadoona Dacite Member,Jinglemoney Conglomerate
Croppies Gunyah Ignimbrite Member,Kadoona Dacite Member
Toggannoggra Rhyolite Member,Kadoona Dacite Member
Kadoona Dacite Member,De Drack Formation
Hervey Group,Kadungle Volcanics
Troffs Formation,Kadungle Volcanics
Kadungle Volcanics,Derriwong Group
Kadungle Volcanics,Pullabooka Formation
Wyoming Limestone Member,Kalimna Limestone Member
Innamincka Formation,Kalladeina Formation
Kalladeina Formation,Diamond Bog Dolomite
Kalladeina Formation,Mooracoochie Volcanics
Karalundi Formation,Doolgunna Formation
Karalundi Formation,Maraloou Formation
Mount Leake Formation,Karalundi Formation
Kingscote Limestone,Cape Jervis Formation
Koonburra Creek Quartzite Member,Kara Formation
Koonburra Creek Quartzite Member,Wonnaminta Formation
Mount Daubeny Formation,Koonburra Creek Quartzite Member
Koreelah Conglomerate Member,Ripley Road Sandstone
Makowata Oil Shale Member,Korenan Oil Shale Member
Korenan Oil Shale Member,Wheatley Oil Shale Member
Andagera Formation,Kudinga Basalt
Errolola Sandstone,Kudinga Basalt
Kurinelli Sandstone,Rooneys Formation
Treasure Volcanics,Kurinelli Sandstone
Unimbra Sandstone,Kurinelli Sandstone
Kurinelli Sandstone,Epenarra Volcanics
Taragan Sandstone,Kurinelli Sandstone
Kurinelli Sandstone,Edmirringee Volcanics
Rasp Ridge Gneiss,Kyong Formation
Kyong Formation,Alma Gneiss
Sarah Jane Quartzite,Lake Judd Formation
Lake Timk Formation,Annakananda Formation
Gomorrah Dolomite,Lake Timk Formation
Townley Formation,Lane Creek Formation
Lane Creek Formation,Corbett Formation
Lano Gully Sandstone,Goldie Chert
Stauro Gully Shale,Lano Gully Sandstone
Lennee Creek Formation,Alinjabon Sandstone
Ninmaroo Formation,Lily Creek Sandstone Member
Linns Springs Member,Wilkawillina Limestone
Third Plain Creek Member,Linns Springs Member
Linns Springs Member,Six Mile Bore Member
Bulimba Formation,Littleton Dacite Member
Littleton Dacite Member,Carron Rhyolite
Weld River Group,Lot Formation
Kialrah Rhyolite,Louden Volcanics
Louden Volcanics,Cistern Formation
Louden Volcanics,Whim Creek Group
Louden Volcanics,Rushall Slate
Mount Roe Basalt,Louden Volcanics
Sonoma Member,Makowata Oil Shale Member
Malacura Sandstone,Yarman Formation
Malacura Sandstone,Langdon River Mudstone
Malacura Sandstone,Candlow Formation
Meloola Volcanics,Edols Conglomerate
Heazlewood River Complex,Bowry Formation
Barrandella Shale Member,Bowspring Limestone Member
Bowspring Limestone Member,Tullerah Sandstone Member
Bowspring Limestone Member,Douro Group
Bowspring Limestone Member,Yanawe Formation
Pandani Group,Mount Anne Group
Weld River Group,Mount Bowes Formation
Wanapi Dolostone Member,Mount Davenport Diamictite Member
Mount Davenport Diamictite Member,Vaughan Springs Quartzite
Mount Davenport Diamictite Member,Rinkabeena Shale
Deakin Volcanics,Mount Painter Volcanics
Yass Formation,Mount Painter Volcanics
Mount Painter Volcanics,Walker Volcanics
Mugga Mugga Porphyry Member,Yarralumla Formation
Mugga Mugga Porphyry Member,Mount Painter Volcanics
Mundallio Subgroup,Emeroo Subgroup
Woolshed Flat Shale,Mundallio Subgroup
Undalya Quartzite,Mundallio Subgroup
Derriwong Group,Murrumbogie Intrusive Complex
Chandler Formation,Namatjira Formation
Namatjira Formation,Arumbera Sandstone
Towanway Tuff,Nanapundah Tuff
Nanapundah Tuff,Fairview Andesitic Breccia
Napoleon Megabreccia Member,Skillogalee Dolomite
Neutral Junction Formation,Octy Formation
Red Heart Dolostone,Neutral Junction Formation
Chabalowe Formation,Neutral Junction Formation
Djagamara Formation,Newhaven Shale Member
Newhaven Shale Member,Wanapi Dolostone Member
Newlands Volcanics,Yeeradgi Sandstone
Newlands Volcanics,Unimbra Sandstone
Hampstead Sandstone,Nonda Granite
Loth Formation,Nonda Granite
Gilbert River Formation,Nonda Granite
Nonda Granite,Esmeralda Granite
Octy Formation,Central Mount Stuart Formation
Octy Formation,Tops Member
Chabalowe Formation,Octy Formation
Ondyong Point Formation,Gearys Gap Formation
Oolarinna Member,Rodda beds
Oolarinna Member,Relief Sandstone
Florina Formation,Oolloo Dolostone
Bathurst Island Group,Oolloo Dolostone
Petrel Formation,Oolloo Dolostone
Oolloo Dolostone,Jinduckin Formation
Oroopo Metabasalt,Saint Ronans Metamorphics
Oroopo Metabasalt,Kallala Quartzite
Oroopo Metabasalt,Sulieman Gneiss
Oweenee Rhyolite,Lyall Formation
Buaraba Mudstone,Box Gully Formation
Box Gully Formation,Biarraville Formation
Weld River Group,Pandani Group
Carron Rhyolite,Parrot Camp Rhyolite
Woodgate Gravel,Pedirka Formation
Pedirka Formation,Cordillo Silcrete
Moyle River Formation,Peppimenarti Granite
Tewinga Group,Plum Mountain Gneiss
Leichhardt Volcanics,Plum Mountain Gneiss
Point Ellen Formation,Hallett Cove Sandstone
Glanville Formation,Point Ellen Formation
Point Ellen Formation,Cape Jervis Formation
Hogan Dolomite,Recovery Formation
Recovery Formation,Dunns Mine Limestone
Rooneys Formation,Epenarra Volcanics
Rothlyn Formation,Colinton Volcanics
Rundle Formation,Worthington Formation
Heavitree Quartzite,Rungutjirba Gneiss
Bucket Hole Metavolcanics,Saint Ronans Metamorphics
Jayah Creek Metabasalt,Saint Ronans Metamorphics
Salisbury Sandstone,Chichester Formation
Parara Limestone,Second Plain Creek Member
Mernmerna Formation,Second Plain Creek Member
Second Plain Creek Member,Winnitinny Creek Member
Rungutjirba Gneiss,Simpsons Gap Metasediments
Heavitree Formation,Simpsons Gap Metasediments
Simpsons Gap Metasediments,Sadadeen Range Gneiss
Six Mile Bore Member,Wilkawillina Limestone
Split Hill Sandstone,Stauro Gully Shale
Gawler Range Volcanics,St Peter Suite
Stauro Gully Shale,Goldie Chert
Stockinbingal Formation,Frampton Volcanics
Aberfoyle Formation,Strickland Gorge Formation
Strickland Gorge Formation,Mathinna Beds
Jayah Creek Metabasalt,Sulieman Gneiss
Tangalooma Sandstone,Taroom Coal Measures
Maclean Sandstone Member,Tangalooma Sandstone
Treasure Volcanics,Taragan Sandstone
Mia Mia Volcanics,Taragan Sandstone
Unimbra Sandstone,Taragan Sandstone
Taragan Sandstone,Taragan Sandstone
Taroom Coal Measures,Durabilla Formation
Taroom Coal Measures,Eurombah Formation
Bunkers Sandstone,Third Plain Creek Member
Willochra Subgroup,Thora Dolomite
Thora Dolomite,Amberoona Formation
Thora Dolomite,Tapley Hill Formation
Tindall Limestone,Jamison Sandstone
Petrel Formation,Tindall Limestone
Jinduckin Formation,Tindall Limestone
Tindall Limestone,Antrim Plateau Volcanics
Tindall Limestone,Tolmer Group
Illoquara Sandstone,Tinfish Sandstone
Tinfish Sandstone,Gwynne Sandstone
Kain Porphyry Member,Toggannoggra Rhyolite Member
Toggannoggra Rhyolite Member,De Drack Formation
Bald Rock beds,Boxing Bay Formation
Cape Jervis Formation,Boxing Bay Formation
Boxing Bay Formation,Emu Bay Shale
Towanway Tuff,Fairview Andesitic Breccia
Heliman Formation,Townley Formation
Unimbra Sandstone,Treasure Volcanics
Trilobite Hill Limestone Member,Belubula Limestone
Tuckfield Member,Carolyn Formation
Christmas Creek Member,Tuckfield Member
Tindall Limestone,Two Sisters Granite
Tolmer Group,Two Sisters Granite
Two Sisters Granite,Wangi Basics
Yaddanilla Sandstone,Vaddingilla Formation
Westgrove Ironstone Member,Boxvale Sandstone Member
Lyall Formation,Venetia Formation
Worumba Dolomite Beds,Waraco Limestone
Waraco Limestone,Kirwan Siltstone
Unimbra Sandstone,Warnes Sandstone Member
Warramana Sandstone,Gold Creek Volcanics
Masterton Sandstone,Warramana Sandstone
Echo Sandstone,Warramana Sandstone
Wauchope Subgroup,Ooradidgee Group
Tim Shea Sandstone,Weld River Group
Weld River Group,Clark Group
Denison Group,Weld River Group
Ragged Basin Complex,Weld River Group
Candlow Formation,White Bull Member
White Bull Member,Candlow Formation
Geolsec Formation,Whites Formation
Koolpinyah Dolostone,Whites Formation
Whites Formation,Coomalie Dolostone
Willawalpa Formation,Top Mount Sandstone beds
Wisanger Basalt,Cape Jervis Formation
Jingerangle Formation,Wombin Volcanics
Derriwong Group,Wombin Volcanics
Trundle Group,Wombin Volcanics
Wombin Volcanics,Goonumbla Volcanics
Wombin Volcanics,Billabong Creek Limestone
Wombin Volcanics,Gunningbland Formation
Carron Rhyolite,Wonnemarra Rhyolite
Wonnemarra Rhyolite,Etheridge Group
Wonnemarra Rhyolite,Langlovale Group
Parmeener Supergroup,Wurawina Supergroup
Boxwood Volcanics,Hodgkinson Formation
Sherwood Formation,Yallock Formation
Croydon Volcanic Group,Yarman Formation
Yarman Formation,Malacura Sandstone
Yarrawonga Volcanic Member,Wildman Siltstone
Yeeradgi Sandstone,Unimbra Sandstone
Cadlareena Volcanics,Younghusband Conglomerate
Younghusband Conglomerate,Peake Metamorphics
Cullen Bullen Subgroup,Nile Subgroup
Charbon Subgroup,Cullen Bullen Subgroup
Dirty Water Metamorphics,Woolner Granite
Mount Partridge Group,Dirty Water Metamorphics
Caley Formation,Farmers Creek Formation
Farmers Creek Formation,State Mine Creek Formation
Katoomba Coal Member,Farmers Creek Formation
Farmers Creek Formation,Gap Sandstone
Glen Davis Formation,Newnes Formation
Denman Formation,Glen Davis Formation
Moolarben Coal Member,Glen Davis Formation
Newnes Formation,Irondale Coal
Petermorra Volcanics,Radium Creek Metamorphics
Shanahan Conglomerate Member,Petermorra Volcanics
Rockleigh Formation,Backstairs Passage Formation
Winnitinny Creek Member,Hideaway Well Member
Koolpinyah Dolostone,Woolner Granite
Stanley Metamorphics,Woolner Granite
Masson Formation,Woolner Granite
Cox Formation,Bukalara Sandstone
Saint Kilda Formation,Fulham Sand
Fulham Sand,Glanville Formation
Antrim Plateau Volcanics,Albert Edward Group
Albert Edward Group,Duerdin Group
Albert Edward Group,Ranford Formation
Freitag Formation,Aldebaran Sandstone
Ingelara Formation,Aldebaran Sandstone
German Creek Formation,Aldebaran Sandstone
Aldebaran Sandstone,Cattle Creek Formation
Aldebaran Sandstone,Reids Dome Beds
Gell Quartzite,Arndell Sandstone
Aurukun Surface,Bulimba Formation
Avoca Valley Shale,Gospel Oak Formation
Avoca Valley Shale,Canowindra Volcanics
Ghost Hill Formation,Avoca Valley Shale
Backdoor Formation,Wonyulgunna Sandstone
Backdoor Formation,Coodardoo Formation
Calyie Formation,Backdoor Formation
Backdoor Formation,Edmund Group
Cuga Burga Volcanics,Barnby Hills Shale
Camelford Limestone,Barnby Hills Shale
Bells Creek Volcanics,Tanwarra Shale
Kalala Member,Bessie Creek Sandstone
Bessie Creek Sandstone,Corcoran Formation
Coast Range Sandstone,Bradshaw Complex
Spencer Creek Group,Bradshaw Complex
Greta Coal Measures,Billy Brook Formation
Billy Brook Formation,Cranky Corner Sandstone
Black Alley Shale,Tinowon Formation
Black Alley Shale,Fair Hill Formation
Burngrove Formation,Black Alley Shale
Blue Range beds,Hutchison Group
Brady Formation,Tiers Formation
Darraweit Guim Mudstone,Bolinda Shale
Murrindindi Supergroup,Bolinda Shale
Bolinda Shale,Riddell Sandstone
Olney Formation,Boolahbone Granite
Booti Booti Sandstone,Boolambayte Formation
Brady Gneiss,Irindina Gneiss
Brady Gneiss,Spriggs Gneiss
Bracteata Mudstone,Shield Creek Formation
Buchanan Hills beds,Lake Surprise Sandstone
Buchanan Hills beds,Lothari Hill Sandstone
Wade Creek Sandstone,Bungle Bungle Dolomite
Burranah Formation,Adaminaby Group
Brachina Formation,Braemar Iron Formation
Bathurst Island Formation,Cahill Formation
Mamadawerre Sandstone,Cahill Formation
Cahill Formation,Kudjumarndi Quartzite
Kombolgie Subgroup,Cahill Formation
Cahill Formation,Kakadu Group
Cahill Formation,Nanambu Complex
Bobby Volcanics,Castletower Granite
Cheesemans Creek Formation,Fairbridge Volcanics
Cheesemans Creek Formation,Reedy Creek Limestone
Constance Sandstone,Fickling Group
Constance Sandstone,Doomadgee Formation
Constance Sandstone,Wild Cow Subgroup
Constance Sandstone,Caulfield beds
Constance Sandstone,Crow Formation
Gold Creek Volcanics,Constance Sandstone
Constance Sandstone,Wallis Formation
Elizabeth Sandstone,Constance Sandstone
Constance Sandstone,McNamara Group
Cloyne Member,Cooma Creek Member
Cooma Creek Member,Rose Valley Member
Walhalla Group,Coopers Creek Limestone
Cottee Formation,Snowdrop Sandstone Member
Cottee Formation,Marlgowa Sandstone
Shadforth Sandstone,Cottee Formation
Forest Conglomerate,Cowrie Siltstone
Cowrie Siltstone,Balfour Subgroup
Detention Subgroup,Cowrie Siltstone
Irby Siltstone,Cowrie Siltstone
Cumberland Range Volcanic Group,Etheridge Group
Dewrang Group,Alum Mountain Volcanics
Dewrang Group,"Bucketts rhyolites"""""
Poley Cow Formation,Donaldsons Well Volcanic Member
Glenlee Rhyolite,Dunoon Dacite
Dunoon Dacite,Ellersley Formation
Edols Conglomerate,Lake Cowal Volcanic Complex
Eight Mile Creek beds,Bromley Hills Formation
Eight Mile Creek beds,Silverwood Group
Marburg Subgroup,Eight Mile Creek beds
Erins Vale Formation,Shoalhaven Group
Pheasants Nest Formation,Erins Vale Formation
Wingara Formation,Eurow Formation
Eurow Formation,Bumberry Formation
Evans Head Coal Measures,Chillingham Volcanics
Raceview Formation,Evans Head Coal Measures
Parsons Range Group,Fagan Volcanics
Fagan Volcanics,Ritarango Formation
Mattamurta Sandstone,Fagan Volcanics
Faulkner Group,Bundella Mudstone
Faulkner Group,Golden Valley Group
Deep Bay Formation,Faulkner Group
Cascades Group,Faulkner Group
Branxton Formation,Rowan Formation
Mulbring Siltstone,Branxton Formation
Branxton Formation,Greta Coal Measures
Gurnard Formation,Flounder Formation
Flounder Formation,Mackerel Formation
Flounder Formation,Kingfish Formation
Opah Formation,Flounder Formation
Willara Formation,Gap Creek Formation
Gap Creek Formation,Emanuel Formation
Eulo Queen Group,Gilberton Formation
Gilberton Formation,Puppy Camp Granodiorite
Gilbert River Formation,Gilberton Formation
Gilberton Formation,Bernecker Creek Formation
Gumhole Formation,Luluigui Formation
Gumhole Formation,Windjana Limestone
Gumhole Formation,Pillara Formation
Mount Oxide Chert,Gunpowder Creek Formation
Haunted Hills Formation,Hazelwood Formation
Brassal Subgroup,Chillingham Volcanics
German Creek Formation,Ingelara Formation
Catherine Sandstone,Ingelara Formation
Ingelara Formation,Freitag Formation
Inglis Siltstone,Wynyard Tillite
Hibernia Formation,Johnson Formation
Grebe Formation,Johnson Formation
Jones Creek Conglomerate,Kathleen Valley Gabbro
Owen Conglomerate,Jukes Conglomerate
Spearhole Formation,Brassey Range Formation
Brassey Range Formation,Oldham Sandstone
Brassey Range Formation,Coonabildie Formation
Keel Quartzite,Amber Formation
Austral Creek Siltstone,Keel Quartzite
Kerridy Sandstone,Djagamara Formation
Mount Bonnie Formation,Koolpin Formation
Coronation Sandstone,Koolpin Formation
Shovel Billabong Andesite,Koolpin Formation
Gerowie Tuff,Koolpin Formation
Kwinana Group,Wadjemup Formation
Lancelin Formation,Molecap Greensand
Kings Park Formation,Lancelin Formation
Eastern Creek Volcanics,Leander Quartzite
Leila Sandstone,Tatoola Sandstone
Limekilns Formation,Merrions Formation
Llewellyn Creek Formation,Fullarton River Group
Kalkarindji Suite,Maiwok Subgroup
Maiwok Subgroup,Collara Subgroup
Corella Formation,Mitakoodi Quartzite
Overhang Jaspilite,Mitakoodi Quartzite
Mitakoodi Quartzite,Argylla Formation
Floods Creek Formation,Mitchie Well Formation
Brewer Conglomerate,Jay Creek Limestone
Brewer Conglomerate,Hermannsburg Sandstone
Moonlight Valley Tillite,Blackfellow Creek Sandstone
Moonlight Valley Tillite,Frank River Sandstone
Moonlight Valley Tillite,Angalarri Siltstone
Beasley Knob Member,Moonlight Valley Tillite
Kinevans Sandstone,Moonlight Valley Tillite
Jarrad Sandstone Member,Moonlight Valley Tillite
Antrim Plateau Volcanics,Moonlight Valley Tillite
Moonlight Valley Tillite,Illjarra Sandstone
Moonlight Valley Tillite,Eliot Range Dolomite
Moonlight Valley Tillite,Auvergne Group
Council Trench Formation,Morton Conglomerate Member
Mount Hall Formation,Silver Hills Volcanics
Mount Hall Formation,Anakie Metamorphic Group
Raymond Sandstone,Mount Hall Formation
Fernfields Formation,Brewery Junction Formation
Brewery Junction Formation,Razorback Conglomerate
Broken Range Group,Mount Hope Group
Mount McDonnell Formation,Kulpara Formation
Mount McDonnell Formation,Lincoln Complex
Narrabeen Group,Mulbring Siltstone
Vane Subgroup,Mulbring Siltstone
Myrtlevale Formation,Julia Formation
Myrtlevale Formation,Dotswood Group
Shepparton Formation,Natte Yallock Granite
Borda Formation  Lower,Neptune Formation
Neptune Formation,Echidna Formation
Mamadawerre Sandstone,Nimbuwah Complex
Kombolgie Subgroup,Nimbuwah Complex
Nimbuwah Complex,Zamu Dolerite
Nome Formation,Challis Formation
Ashmore Volcanics,Nome Formation
Nullarbor Limestone,Abrakurrie Limestone
Nullarbor Limestone,Colville Sandstone
Ossa Formation,Cygnet Coal Measures
MacKellar Formation,Pagoda Formation
Grindstone Range Sandstone,Pantapinna Sandstone
Pantapinna Sandstone,Balcoracana Formation
Eulo Queen Group,Purkin Granite
Gilbert River Formation,Purkin Granite
Bridgewater Formation,Cape Jervis Formation
Bridgewater Formation,Hindmarsh Clay
Bridgewater Formation,Cove Sand
Bridgewater Formation,White Point Conglomerate
Bridgewater Formation,Dog Trap Bay Sand
Bridgewater Formation,Hesse Clay
Bridgewater Formation,Gellibrand Marl
Bridgewater Formation,Uley Formation
Bridgewater Formation,Coomandook Formation
Bridgewater Formation,Nullarbor Limestone
Hawker Group,Rawnsley Quartzite
Checkers Member,Red East Member
Red East Member,Ashton Member
Cleaverville Formation,Roebourne Group
Regal Formation,Roebourne Group
Rutledge Marl Member,Gellibrand Marl
Bonanza Creek Formation,Shadforth Sandstone
Shepparton Formation,Newer Volcanics
Shepparton Formation,Balmattum Basalt
Coonambidgal Formation,Shepparton Formation
Shepparton Formation,Calivil Formation
Shepparton Formation,Wild Duck Formation
Shepparton Formation,White Hills Gravel
Silver Hills Volcanics,Sedgeford Formation
Mount Rankin Formation,Silver Hills Volcanics
Silver Hills Volcanics,Theresa Creek Volcanics
Raymond Sandstone,Silver Hills Volcanics
Silver Hills Volcanics,Dunstable Volcanics
Silver Hills Volcanics,Anakie Metamorphic Group
Silver Hills Volcanics,Fork Lagoons beds
Skillogalee Dolomite,Rhynie Sandstone
Myrtle Springs Formation,Skillogalee Dolomite
Skillogalee Dolomite,Bungaree Quartzite
Woolshed Flat Shale,Skillogalee Dolomite
Skillogalee Dolomite,Mount Margaret Quartzite
Skillogalee Dolomite,Burra Group
Bridport Calcilutite,Cooloongup Sand
Bridport Calcilutite,Leschenault Formation
Becher Sand,Bridport Calcilutite
Bongalaby Formation,Tarago Conglomerate
Tarago Conglomerate,Covan Creek Formation
Tarlo Formation,Cookbundoon Formation
Tarlo Formation,Wiarborough Formation
Teronis Member,Warton Sandstone
Mount Marcella Volcanics,Briggs Granodiorite
Angepena Formation,Brighton Limestone
Willochra Subgroup,Brighton Limestone
Crinoidal Limestone Member,Warroo Limestone Member
Warroo Limestone Member,Patmore Limestone Member
Mount Inglis Sandstone,Waterfall Valley Siltstone
Isismurra Formation,Waverley Formation
Waverley Formation,Goonoo Goonoo Mudstone
White Spur Formation,Hercules Pumice Formation
Elatina Formation,Wilmington Formation
Whyalla Sandstone,Wilmington Formation
Wilmington Formation,Angepena Formation
Wonoka Formation,Wilcolo Sandstone Member
Billy Springs Beds,Wonoka Formation
Pound Quartzite,Wonoka Formation
Puttapa Conglomerate,Wonoka Formation
Wonoka Formation,Ulupa Siltstone
Wonoka Formation,Bunyeroo Formation
Coomberarie Formation,Woodrarrung Sandstone
Wooramel Group,Lyons Group
Byro Group,Wooramel Group
Kennedy Group,Wooramel Group
Wooramel Group,Callytharra Formation
Warbro Formation,Yessabah Limestone
Coondra Formation,Rudall Complex
Warrow Quartzite,Miltalie Gneiss
Hutchison Group,Miltalie Gneiss
Miltalie Gneiss,Sleaford Complex
Gull Rock Member,Tuketja Member
Winduck Group,Amphitheatre Group
Mulga Downs Group,Winduck Group
Kurrundie Sandstone,Big Sunday Formation
Langdon River Mudstone,Candlow Formation
Candlow Formation,Heliman Formation
Dalhousie Formation,Bulldog Shale
Dalhousie Formation,Oodnadatta Formation
Illoquara Sandstone,Strzeleckie Volcanics
Illoquara Sandstone,Gwynne Sandstone
Parakeelya Alkali Member,Wallatinna Member
Strzeleckie Volcanics,Bullion Schist
Strzeleckie Volcanics,Gwynne Sandstone
State Mine Creek Formation,Moolarben Coal Member
Gap Sandstone,State Mine Creek Formation
Bringelly Shale,Minchinbury Sandstone
Ashfield Shale,Mittagong Formation
Florida Volcanics,Babinda Volcanics
Buckabie Formation,Log Creek Formation
Buckabie Formation,Etonvale Formation
Bundera Calcarenite,Exmouth Sandstone
Clarke River Group,Kangaroo Hills Formation
Isismurra Formation,Dangarfield Formation
Ayr Conglomerate Member,Dangarfield Formation
Dangarfield Formation,Kingsfield Formation
Bally Knob Volcanics,Dido Tonalite
Warragee Member,Edeowie Limestone Member
Edeowie Limestone Member,Moorowie Formation
Edeowie Limestone Member,Wilkawillina Limestone
Bringo Shale,Colalura Sandstone
Blue Rock Creek beds,Halls Reward Metamorphics
McBride Basalt,Halls Reward Metamorphics
Judea Formation,Gray Creek Complex
Kulele Limestone,Wongawol Formation
Falloch beds,Lankelly Granite
Laurel Formation,Windjana Limestone
Laurel Formation,Luluigui Formation
Laurel Formation,Pillara Limestone
Grant Group,Laurel Formation
Anderson Formation,Laurel Formation
Masterton Sandstone,Gold Creek Volcanics
Masterton Sandstone,Hobblechain Rhyolite
Karns Dolostone,Masterton Sandstone
Masterton Sandstone,Wununmantyala Sandstone
Batten Subgroup,Masterton Sandstone
Masterton Sandstone,Tawallah Group
Heavitree Formation,Mordor Igneous Complex
Cotton Formation,Parkes Volcanics
Napier Formation,Pillara Limestone
Windjana Limestone,Pillara Limestone
Pillara Limestone,Emanuel Formation
Townley Formation,Robertson River Subgroup
Robertson River Subgroup,Dargalong Metamorphics
Robertson River Subgroup,Einasleigh Metamorphics
Robertson River Subgroup,Bernecker Creek Formation
Sagittarius Sandstone,Rangal Coal Measures
Arcadia Formation,Sagittarius Sandstone
Seacliff Sandstone,Yerelina Subgroup
Brachina Formation,Seacliff Sandstone
Seacliff Sandstone,Umberatana Group
Thackaringa Group,Mulculca Formation
Broken Hill Group,Thackaringa Group
Poolalalie Dolomite,Warrow Quartzite
Warrow Quartzite,Sleaford Complex
Airlie Volcanics,Proserpine Volcanics
Akuna Mudstone,New Country Sandstone
Sunlight Creek Formation,Akuna Mudstone
Pinnak Sandstone,Akuna Mudstone
Tombong Formation,Akuna Mudstone
Jarlemai Siltstone,Alexander Formation
Alexander Formation,Wallal Sandstone
Alexander Formation,Jurgurra Sandstone
Balbirini Dolostone,Amos Formation
Anderson Formation,Fairfield Group
Betty Formation,Anderson Formation
Grant Group,Anderson Formation
Reeves Formation,Anderson Formation
Strelley Pool Chert,Apex Basalt
Apex Basalt,Duffer Formation
Apex Basalt,Towers Formation
Bootu Formation,Attack Creek Formation
Gleeson Formation,Attack Creek Formation
Attack Creek Formation,Short Range Sandstone
Balfour Formation,Jigalong Formation
Balfour Formation,Enacheddong Dolomite
Balfour Formation,Coondoon Formation
Banyan Formation,Nero Siltstone
Tamala Limestone,Bassendean Sand
Bassendean Dunes,Bassendean Sand
Bassendean Sand,Guildford Formation
Bassendean Sand,Ascot Formation
Cheela Springs Basalt,Beasley River Quartzite
Beasley River Quartzite,Mount Bruce Supergroup
Coomberdale Subgroup,Billeranga Subgroup
Blina Shale,Chirup Formation
Kockatea Shale,Blina Shale
Erskine Sandstone,Blina Shale
Wallal Sandstone,Blina Shale
Blina Shale,Liveringa Group
Blina Shale,Culvida Sandstone
Blina Shale,Millyit Sandstone
Blina Shale,Noonkanbah Formation
Opaminda Siltstone,Blue Mine Conglomerate
Blue Mine Conglomerate,Humanity Seat Formation
Bobs Creek Formation,Nangahrah Formation
Cara Formation,Bobs Creek Formation
Borda Sandstone,Broome Sandstone
Breckin Ignimbrite Member,Newtown Formation
Dingo Claystone,Brigadier Formation
North Rankin Formation,Brigadier Formation
Brindana Schist,Pepegoona Porphyry
Fenelon Formation,Brown Gannet Limestone
Farrel Quartzite,Budjan Creek Formation
Gorge Creek Group,Budjan Creek Formation
Budjan Creek Formation,Charteris Basalt
Soanesville Group,Budjan Creek Formation
Golden Cockatoo Formation,Budjan Creek Formation
Budjan Creek Formation,Sulphur Spring Group
Fortescue Group,Budjan Creek Formation
Budjan Creek Formation,Kelly Group
Budjan Creek Formation,Wyman Formation
Budjan Creek Formation,Salgash Subgroup
Bulimba Formation,Gilbert River Formation
Bunburn Dacite,Waurea Pyroclastics
Nuckulla Basalt,Bunburn Dacite
Baldry Rhyolite,Bunburn Dacite
Bunburn Dacite,Arburee Rhyolite
Marola Sandstone Member,Bungaree Quartzite
Cultivation Gully Formation,Burdekin Formation
Burdekin Formation,Big Bend Formation
Burnamwood Formation,Archerfield Sandstone
Fairford Formation,Burnamwood Formation
Fairfield Formation,Burnamwood Formation
Hawkesbury Sandstone,Burralow Formation
Anketell Sandstone,Callawa Formation
Callawa Formation,Poole Sandstone
Callawa Formation,Noonkanbah Formation
Callawa Formation,Wallal Sandstone
Anketell Formation,Callawa Formation
Parda Formation,Callawa Formation
Callawa Formation,Jarlemai Siltstone
